episode,source_id,delivered,hops,total_reward,epsilon
579,48,True,3,1.109004,0.010000
580,37,True,6,1.080396,0.010000
581,6,True,4,1.096971,0.010000
582,42,True,3,1.046514,0.010000
583,37,True,6,1.080396,0.010000
584,25,True,3,1.084093,0.010000
585,45,True,5,1.153215,0.010000
586,4,True,5,1.178257,0.010000
587,9,True,3,1.123711,0.010000
588,49,True,4,1.098777,0.010000
589,24,True,6,1.032766,0.010000
590,6,True,4,1.096971,0.010000
591,32,True,2,1.055840,0.010000
592,19,True,7,1.107314,0.010000
593,42,True,3,1.046514,0.010000
594,20,True,1,1.045076,0.010000
595,15,True,3,1.053862,0.010000
596,30,True,6,1.070211,0.010000
597,37,True,6,1.080396,0.010000
598,35,True,6,1.121147,0.010000
599,42,True,3,1.046514,0.010000
600,22,True,5,1.131678,0.010000
601,29,True,6,1.079719,0.010000
602,44,True,4,1.095060,0.010000
603,43,True,6,1.124780,0.010000
604,14,True,2,1.067718,0.010000
605,29,True,6,1.079719,0.010000
606,6,True,5,1.055850,0.010000
607,3,True,5,1.154076,0.010000
608,41,True,6,1.147114,0.010000
609,39,True,4,1.100679,0.010000
610,24,True,6,1.032766,0.010000
611,41,True,6,1.147114,0.010000
612,44,True,4,1.095060,0.010000
613,9,True,3,1.123711,0.010000
614,7,True,4,0.998982,0.010000
615,2,True,5,1.073814,0.010000
616,15,True,3,1.053862,0.010000
617,6,True,4,1.096971,0.010000
618,43,True,6,1.124780,0.010000
619,12,True,3,1.071419,0.010000
620,23,True,3,1.084862,0.010000
621,34,True,6,1.059866,0.010000
622,29,True,6,1.079719,0.010000
623,34,True,6,1.059866,0.010000
624,15,True,3,1.053862,0.010000
625,31,True,4,1.069905,0.010000
626,8,True,5,1.029549,0.010000
627,8,True,5,1.029549,0.010000
628,32,True,2,1.055840,0.010000
629,8,True,5,1.029549,0.010000
630,25,True,3,1.084093,0.010000
631,30,True,6,1.070211,0.010000
632,25,True,3,1.084093,0.010000
633,32,True,2,1.055840,0.010000
634,49,True,4,1.098777,0.010000
635,17,True,2,1.070467,0.010000
636,50,True,4,1.127226,0.010000
637,49,True,4,1.098777,0.010000
638,43,True,6,1.124780,0.010000
639,30,True,6,1.070211,0.010000
640,32,True,2,1.055840,0.010000
641,11,True,2,1.020729,0.010000
642,32,True,2,1.055840,0.010000
643,19,True,7,1.107314,0.010000
644,5,True,4,1.094506,0.010000
645,17,True,2,1.070467,0.010000
646,2,True,5,1.073814,0.010000
647,34,True,6,1.059866,0.010000
648,18,True,5,1.050794,0.010000
649,30,True,6,1.070211,0.010000
650,42,True,3,1.046514,0.010000
651,21,True,4,1.117678,0.010000
652,16,True,3,1.071668,0.010000
653,16,True,3,1.071668,0.010000
654,28,True,4,1.113333,0.010000
655,32,True,2,1.055840,0.010000
656,31,True,4,1.069905,0.010000
657,42,True,3,1.046514,0.010000
658,17,True,2,1.070467,0.010000
659,44,True,6,1.068064,0.010000
660,29,True,6,1.079719,0.010000
661,11,True,2,1.020729,0.010000
662,30,True,6,1.070211,0.010000
663,11,True,2,1.020729,0.010000
664,21,True,4,1.117678,0.010000
665,12,True,3,1.071419,0.010000
666,36,True,1,1.028687,0.010000
667,6,True,4,1.096971,0.010000
668,6,True,4,1.096971,0.010000
669,44,True,4,1.095060,0.010000
670,25,True,3,1.084093,0.010000
671,27,True,6,1.150846,0.010000
672,9,True,3,1.123711,0.010000
673,5,True,4,1.094506,0.010000
674,1,True,4,1.096368,0.010000
675,38,True,4,1.105579,0.010000
676,10,True,3,1.063850,0.010000
677,48,True,3,1.109004,0.010000
678,34,True,6,1.059866,0.010000
679,3,True,5,1.154076,0.010000
680,30,True,6,1.070211,0.010000
681,38,True,4,1.105579,0.010000
682,44,True,4,1.095060,0.010000
683,2,True,5,1.073814,0.010000
684,21,True,4,1.117678,0.010000
685,48,True,3,1.109004,0.010000
686,6,True,4,1.096971,0.010000
687,28,True,4,1.113333,0.010000
688,32,True,2,1.055840,0.010000
689,6,True,4,1.096971,0.010000
690,30,True,6,1.070211,0.010000
691,16,True,3,1.071668,0.010000
692,33,True,4,1.092254,0.010000
693,8,True,5,1.029549,0.010000
694,49,True,4,1.098777,0.010000
695,44,True,6,0.922655,0.010000
696,45,True,5,1.153215,0.010000
