current_node_id,candidate_node_id,link_distance_m,residual_energy,link_quality,trust_value,normalized_distance_to_sink,energy_bin,link_quality_bin,trust_bin,distance_bin,state_tuple,distance_progress,estimated_energy_cost,estimated_delay,estimated_packet_loss_rate,preview_reward
15,11,182.545411,1.000000,0.391515,0.500000,0.293879,4,1,2,1,"(4, 1, 2, 1)",0.164359,0.685127,0.720346,0.608485,0.038487
15,12,210.775736,1.000000,0.297414,0.500000,0.492386,4,1,2,2,"(4, 1, 2, 2)",-0.034148,0.746813,0.787561,0.702586,-0.040401
15,14,230.502294,1.000000,0.231659,0.500000,0.356241,4,1,2,1,"(4, 1, 2, 1)",0.101997,0.795174,0.834529,0.768341,-0.013856
15,36,176.489569,1.000000,0.411701,0.500000,0.285113,4,2,2,1,"(4, 2, 2, 1)",0.173125,0.673048,0.705928,0.588299,0.045091
16,5,241.223005,1.000000,0.195923,0.500000,0.596443,4,0,2,2,"(4, 0, 2, 2)",-0.032980,0.823270,0.860055,0.804077,-0.062393
16,6,236.559076,1.000000,0.211470,0.500000,0.524088,4,1,2,2,"(4, 1, 2, 2)",0.039375,0.810890,0.848950,0.788530,-0.037164
16,7,251.999469,1.000000,0.160002,0.500000,0.523766,4,0,2,2,"(4, 0, 2, 2)",0.039697,0.852799,0.885713,0.839998,-0.048868
16,9,236.719882,1.000000,0.210934,0.500000,0.560984,4,1,2,2,"(4, 1, 2, 2)",0.002479,0.811313,0.849333,0.789066,-0.048353
16,14,248.693945,1.000000,0.171020,0.500000,0.356241,4,0,2,1,"(4, 0, 2, 1)",0.207222,0.843604,0.877843,0.828980,0.003950
16,17,226.592429,1.000000,0.244692,0.500000,0.511315,4,1,2,2,"(4, 1, 2, 2)",0.052147,0.785245,0.825220,0.755308,-0.025926
16,19,299.158388,1.000000,0.002805,0.500000,0.715479,4,0,2,3,"(4, 0, 2, 3)",-0.152017,0.997199,0.997996,0.997195,-0.144884
16,23,210.563561,1.000000,0.298121,0.500000,0.591018,4,1,2,2,"(4, 1, 2, 2)",-0.027555,0.746317,0.787056,0.701879,-0.038273
16,26,269.825079,1.000000,0.100583,0.500000,0.425370,4,0,2,2,"(4, 0, 2, 2)",0.138092,0.904475,0.928155,0.899417,-0.033467
16,38,215.917241,1.000000,0.280276,0.500000,0.789237,4,1,2,3,"(4, 1, 2, 3)",-0.225775,0.759001,0.799803,0.719724,-0.101553
16,45,150.011322,1.000000,0.499962,0.500000,0.726269,4,2,2,3,"(4, 2, 2, 3)",-0.162806,0.625019,0.642884,0.500038,-0.039027
16,47,128.303224,1.000000,0.572323,0.500000,0.669276,4,2,2,3,"(4, 2, 2, 3)",-0.105813,0.591454,0.591198,0.427677,-0.009142
17,5,134.263263,1.000000,0.552456,0.500000,0.596443,4,2,2,2,"(4, 2, 2, 2)",-0.085127,0.600148,0.605389,0.447544,-0.006369
17,9,99.524922,1.000000,0.668250,0.500000,0.560984,4,3,2,2,"(4, 3, 2, 2)",-0.049668,0.555029,0.522678,0.331750,0.023443
17,10,234.384214,1.000000,0.218719,0.500000,0.628096,4,1,2,3,"(4, 1, 2, 3)",-0.116781,0.805200,0.843772,0.781281,-0.082380
17,14,263.306545,1.000000,0.122312,0.500000,0.356241,4,0,2,1,"(4, 0, 2, 1)",0.155075,0.885169,0.912635,0.877688,-0.023148
17,16,226.592429,1.000000,0.244692,0.500000,0.563463,4,1,2,2,"(4, 1, 2, 2)",-0.052147,0.785245,0.825220,0.755308,-0.057214
17,20,247.297933,1.000000,0.175674,0.500000,0.236208,4,0,2,1,"(4, 0, 2, 1)",0.275107,0.839757,0.874519,0.824326,0.025391
17,25,177.096504,1.000000,0.409678,0.500000,0.572415,4,2,2,2,"(4, 2, 2, 2)",-0.061100,0.674240,0.707373,0.590322,-0.025572
17,26,89.922861,1.000000,0.700257,0.500000,0.425370,4,3,2,2,"(4, 3, 2, 2)",0.085945,0.544923,0.499816,0.299743,0.069073
17,32,241.159017,1.000000,0.196137,0.500000,0.328696,4,0,2,1,"(4, 0, 2, 1)",0.182620,0.823098,0.859902,0.803863,0.002336
17,47,229.051933,1.000000,0.236494,0.500000,0.669276,4,1,2,3,"(4, 1, 2, 3)",-0.157961,0.791471,0.831076,0.763506,-0.090770
18,3,259.893135,1.000000,0.133690,0.500000,0.744226,4,0,2,3,"(4, 0, 2, 3)",-0.125806,0.875247,0.904507,0.866310,-0.104705
18,21,271.921534,1.000000,0.093595,0.500000,0.586068,4,0,2,2,"(4, 0, 2, 2)",0.032351,0.910785,0.933147,0.906405,-0.066884
18,24,178.745574,1.000000,0.404181,0.500000,0.586061,4,2,2,2,"(4, 2, 2, 2)",0.032359,0.677500,0.711299,0.595819,0.001388
19,5,240.487507,1.000000,0.198375,0.500000,0.596443,4,0,2,2,"(4, 0, 2, 2)",0.119037,0.821301,0.858304,0.801625,-0.016230
19,7,256.480960,1.000000,0.145063,0.500000,0.523766,4,0,2,2,"(4, 0, 2, 2)",0.191713,0.865458,0.896383,0.854937,-0.006762
19,8,246.855986,1.000000,0.177147,0.500000,0.529009,4,0,2,2,"(4, 0, 2, 2)",0.186470,0.838544,0.873467,0.822853,-0.000861
19,16,299.158388,1.000000,0.002805,0.500000,0.563463,4,0,2,2,"(4, 0, 2, 2)",0.152017,0.997199,0.997996,0.997195,-0.053674
19,29,154.545313,1.000000,0.484849,0.500000,0.646976,4,2,2,3,"(4, 2, 2, 3)",0.068503,0.632690,0.653679,0.515151,0.027595
19,30,245.528455,1.000000,0.181572,0.500000,0.697145,4,0,2,3,"(4, 0, 2, 3)",0.018335,0.834912,0.870306,0.818428,-0.050282
19,47,227.761691,1.000000,0.240794,0.500000,0.669276,4,1,2,3,"(4, 1, 2, 3)",0.046203,0.788197,0.828004,0.759206,-0.028569
20,0,204.562122,1.000000,0.318126,0.500000,0.000000,4,1,2,0,"(4, 1, 2, 0)",0.236208,0.732476,0.772767,0.681874,0.045076
20,9,285.163673,1.000000,0.049454,0.500000,0.560984,4,0,2,2,"(4, 0, 2, 2)",-0.324776,0.951768,0.964675,0.950546,-0.184899
20,11,226.698648,1.000000,0.244338,0.500000,0.293879,4,1,2,1,"(4, 1, 2, 1)",-0.057671,0.785513,0.825473,0.755662,-0.058949
20,14,144.967473,1.000000,0.516775,0.500000,0.356241,4,2,2,1,"(4, 2, 2, 1)",-0.120033,0.616753,0.630875,0.483225,-0.023154
20,17,247.297933,1.000000,0.175674,0.500000,0.511315,4,0,2,2,"(4, 0, 2, 2)",-0.275107,0.839757,0.874519,0.824326,-0.139674
20,26,179.090372,1.000000,0.403032,0.500000,0.425370,4,2,2,2,"(4, 2, 2, 2)",-0.189162,0.678185,0.712120,0.596968,-0.065295
20,32,191.753666,1.000000,0.360821,0.500000,0.328696,4,1,2,1,"(4, 1, 2, 1)",-0.092488,0.704275,0.742271,0.639179,-0.044728
20,36,190.293766,1.000000,0.365687,0.500000,0.285113,4,1,2,1,"(4, 1, 2, 1)",-0.048905,0.701176,0.738795,0.634313,-0.030667
20,48,271.466783,1.000000,0.095111,0.500000,0.367542,4,0,2,1,"(4, 0, 2, 1)",-0.131334,0.909412,0.932064,0.904889,-0.115622
21,1,235.858415,1.000000,0.213805,0.500000,0.605385,4,1,2,3,"(4, 1, 2, 3)",-0.019317,0.809051,0.847282,0.786195,-0.054245
21,3,182.889999,1.000000,0.390367,0.500000,0.744226,4,1,2,3,"(4, 1, 2, 3)",-0.158158,0.685826,0.721167,0.609633,-0.058496
21,4,142.388604,1.000000,0.525371,0.500000,0.740018,4,2,2,3,"(4, 2, 2, 3)",-0.153950,0.612636,0.624735,0.474629,-0.031791
21,11,287.970414,1.000000,0.040099,0.500000,0.293879,4,0,2,1,"(4, 0, 2, 1)",0.292189,0.960705,0.971358,0.959901,-0.002153
21,12,136.007173,1.000000,0.546643,0.500000,0.492386,4,2,2,2,"(4, 2, 2, 2)",0.093682,0.602766,0.609541,0.453357,0.046259
21,18,271.921534,1.000000,0.093595,0.500000,0.618419,4,0,2,3,"(4, 0, 2, 3)",-0.032351,0.910785,0.933147,0.906405,-0.086295
21,41,235.312441,1.000000,0.215625,0.500000,0.695896,4,1,2,3,"(4, 1, 2, 3)",-0.109828,0.807622,0.845982,0.784375,-0.080989
21,44,235.235782,1.000000,0.215881,0.500000,0.687903,4,1,2,3,"(4, 1, 2, 3)",-0.101835,0.807422,0.845799,0.784119,-0.078534
21,46,151.162078,1.000000,0.496126,0.500000,0.756445,4,2,2,3,"(4, 2, 2, 3)",-0.170377,0.626944,0.645624,0.503874,-0.041998
22,24,285.589014,1.000000,0.048037,0.500000,0.586061,4,0,2,2,"(4, 0, 2, 2)",0.119340,0.953117,0.965688,0.951963,-0.052019
22,27,244.441670,1.000000,0.185194,0.500000,0.710137,4,0,2,3,"(4, 0, 2, 3)",-0.004736,0.831954,0.867718,0.814806,-0.056372
22,49,212.355246,1.000000,0.292149,0.500000,0.491475,4,1,2,2,"(4, 1, 2, 2)",0.213926,0.750526,0.791322,0.707851,0.032901
23,6,111.082123,1.000000,0.629726,0.500000,0.524088,4,3,2,2,"(4, 3, 2, 2)",0.066930,0.568551,0.550196,0.370274,0.052267
23,14,242.263208,1.000000,0.192456,0.500000,0.356241,4,0,2,1,"(4, 0, 2, 1)",0.234777,0.826064,0.862531,0.807544,0.017144
23,16,210.563561,1.000000,0.298121,0.500000,0.563463,4,1,2,2,"(4, 1, 2, 2)",0.027555,0.746317,0.787056,0.701879,-0.021739
23,28,177.290457,1.000000,0.409032,0.500000,0.710484,4,2,2,3,"(4, 2, 2, 3)",-0.119466,0.674622,0.707834,0.590968,-0.043208
23,45,249.145317,1.000000,0.169516,0.500000,0.726269,4,0,2,3,"(4, 0, 2, 3)",-0.135251,0.844852,0.878917,0.830484,-0.099141
23,50,163.775298,1.000000,0.454082,0.500000,0.727898,4,2,2,3,"(4, 2, 2, 3)",-0.136880,0.649013,0.675655,0.545918,-0.039764
24,13,287.854826,1.000000,0.040484,0.500000,0.528771,4,0,2,2,"(4, 0, 2, 2)",0.057290,0.960336,0.971083,0.959516,-0.072526
24,18,178.745574,1.000000,0.404181,0.500000,0.618419,4,2,2,3,"(4, 2, 2, 3)",-0.032359,0.677500,0.711299,0.595819,-0.018027
